3627 Felicia :  rat .. lol
4054 ##linux :  mode (+o Gregg ) by ChanServ
4058 Lilliana *  left the room (requested by Gregg).
4061 Rachel :  Arlie: two minds with but a single thought.............
4061 ##linux :  mode (-o Gregg ) by ChanServ
4069 Gale :  because their boss manipulated them into doing something that was against safety protocols so he could get his brownie points
4070 Felicia :  in stereo
4071 Arlie :  Gale, im sure you've heard the term "Human Resource" before haven't you ?
4078 Nella *  left the room (quit: Remote closed the connection).
4084 Evita *  entered the room.
4087 Gale :  Arlie: of course
4093 Arlie :  Gale, that pretty much sums it up ;)
4093 Gale :  Arlie: I understand it's meaning all too well
4096 Katherine :  Tomorrow I am hopefully getting a GNU\Linux compatible wireless box to pick up wi-fi. I was wondering if anyone can recommend a distro which has an easy to use and configure wireless setup GUI. I have tried Debian but something has happened to their config GUI and it is completely different to the one shown in the help files.
4098 Rachel :  more appropriately termed "inhuman resources"
4099 Gale :  Arlie: precisely
4103 Rachel :  Gregg: thanks
4108 Rea :  anyone ?
4113 Gale :  Arlie: it really does
4119 Arlie :  Gale, which is why i encourage all factory workers to quit their jobs
4121 Evita :  Katherine:  Try ubuntu
4122 Ahmad *  left the room (quit: "This computer has gone to sleep").
4126 Gregg :  if it comes back, avoid saying ^ping.* and say Gregg instead ;)
4134 Katherine :  Evita: will xubuntu have a similar thing?
4139 Gale :  Arlie: me too
4153 Gale :  Arlie: unfortunately though, most or very desperate for work
4159 Arlie :  Gale, the production line workers at bausch & lomb were affectionately know as "lab rats"
4161 Hedy *  entered the room.
4167 Gale :  Arlie: most of them wouldn't be there if they had a choice, believe me.
4178 Latrina *  left the room (quit: Read error: 104 (Connection reset by peer)).
4178 Jarrett *  left the room (quit: Read error: 113 (No route to host)).
4191 Margene *  left the room (quit: Connection timed out).
4194 Arlie :  Gale, thats not true ... the moment they get off work they start drinking
4198 Rickie *  left the room (quit: "http://911research.wtc7.net").
4198 Gale :  Arlie: but there is the other side in that many of them don't try or have higher ambitions in life either
4233 Arlie :  theres smart people and stupid people
4238 Jolyn *  entered the room.
4247 Jolyn :  Hi all
4250 Diana *  entered the room.
4250 Rachel :  Arlie: Whut?
4256 Gale :  there's a high quotient of dumb one in industrial jobs, that's for sure
4264 Arlie :  stupid people have crappy jobs ... and are forced to sing wal-mart songs, brainwashing themselves into staying
4268 Felicia :  what?
4270 Diana :  hi guys, can i get via sftp whole directory not individual files?
4272 Rachel :  there's a high quotient of dumb ones in management....
4276 Katherine :  On a different note, uptime of my PC is very important to me so I was wondering whether if I installed Linux onto a HDD using a spare PC then moved that HDD to my main PC would the linux still work?
4283 Gale :  Rachel: especially in management
4284 Clara *  entered the room.
4285 Jolyn :  I have a 6 directories that need to be turned into floppy disk images. How can I do that?
4289 Angeles *  entered the room.
4295 Felicia :  Arlie: you just completely contradicted yourself .. lol .. but who cares ;-)
4298 Lashawna :  can I ask, I'm seeing SEO all over the web, I went to answers.com/SEO and it didn't seem to answer my question
4299 Diana :  get -rR doesn't work;/
4305 Rachel :  Jolyn: boto images?
4306 Arlie :  Felicia, happens all the time ;)
4307 Lashawna :  what does SEO mean in a web dev context?
4307 Gale :  Rachel: especially in managment in industrial sector
4315 Rachel :  Jolyn: sorry - boot images?
4318 Robert *  entered the room.
4319 Jolyn :  They are the Win3.11 disks
4324 Katherine :  Lashawna: search engine optimization
4325 Rachel :  oh
4327 Rachel :  eh
4328 Katherine :  btw wrong channel
4336 Jolyn :  I want to install it to Qemu
4349 Jesse :  Katherine: why is uptime important to you?
4352 Violette :  Jolyn: mount them and cp -r the dirs
4360 Rachel :  because its not downtime!
4361 Robert :  how come I use ifconfig eth0 -arp, when I do tcpdump I still see ARP who-has <ip> tell <gatewayip>?
4363 Jolyn :  They are just directories
4363 Francoise *  entered the room.
4364 Robert :  thx
4364 Lashawna :  Katherine, do  you know of a channel for web devs?
4369 Katherine :  ##web
4380 Lashawna :  Katherine, thanks
4387 Jolyn :  I need to turn them into either a bootable ISO or disk images
4388 Lashawna :  it takes too long to load the channel list
4403 Katherine :  Jesse: because I have a girl I have a crush on who only comes on MSN very occasionally and I don't want to miss her.
4413 Katherine :  s/I have/there is
4416 Jeanice :  aww
4424 Signe *  left the room (quit: Nick collision from services.).
4427 Felicia :  heh
4431 Jeanice :  i think i have something in my eye...
4431 Francoise *  is now known as Francoise
4432 Jesse :  Katherine: what's uptime got to do with that?
4433 Lashawna :  Katherine, is she hot?
4439 Katherine :  yeah
4439 Jolyn :  I'm very new to VM and I'm playing with installing stuff. Windows 3.11 seems to be a good place to start since OpenBSD is hard
4447 Vella *  left the room (quit: Connection timed out).
4450 Katherine :  Jesse: I have to have my computer on to be on MSN.
4451 Diana *  left the room.
4460 Jesse :  Katherine: you're very rash consorting with people discovered on something like msn, BTW ;)
4471 Katherine :  I know her IRL.
4479 Lucille *  left the room (quit: Read error: 110 (Connection timed out)).
4481 Lashawna :  Katherine, when are you going to meet?
4485 Evita :  Jolyn:  I hope your joking
4489 Moira *  left the room (quit: Remote closed the connection).
4493 Katherine :  I know her in real life Lashawna
4498 Katherine :  she goes on the same bus as me.
4500 Katherine :  to school.
4513 Jolyn :  Evita: Nope, I'm intrigued
4520 Lashawna :  maybe it isn't the right time in your life to be thinking about women
4524 Lashawna :  that's all I'm going to say
4525 Jarrett *  entered the room.
4528 Monty *  entered the room.
4529 Katherine :  anyway, is it ok to do what I asked in my query.
4539 Jeanice :  when you're at school, women are all you think about
4570 Dovie *  entered the room.
4570 Jesse :  Katherine: as to your question, 'yes'
4574 Katherine :  cool!
4581 Dovie :  how the root gave permission of it self to be -rwxwrxrwx
4583 Katherine :  thanks you have been a great help.
4585 Evita *  left the room.
4597 Jesse :  Katherine: you might have to tweak it a bit afterwards
4605 Katherine :  ok...
4613 Felicia :  15:00:13 up 4billion+ days, 10:33,  6billion users,  load average: 99.24, 99.21, 99.20 ,-- like that Katherine ?
4614 Krishna *  doesn't like the sound of 'tweaking'.
4615 Jesse :  depending...
4629 Jolyn :  tweaking is bad...
4635 Jasper *  left the room (quit: Killed by nalioth ()).
4635 Sherlyn *  left the room (quit: K-lined).
4635 Bud *  left the room (quit: K-lined).
4637 Jesse :  Felicia: why do you reboot all the time?
4638 Will :  haha
4639 Katherine :  Felicia: lol, where did you see that?
4640 Moira *  entered the room.
4642 Will :  owned
4643 Jolyn :  Well when it involves mini blinds it is
4650 Willetta *  entered the room.
4654 Mirella *  left the room (quit: Connection timed out).
4672 Felicia :  Jesse: the world needs a good toilet flushing every few eons or so ;-)
4672 Arlie :  Jolyn, lol
4676 Meta *  entered the room.
4686 Anisha *  left the room (quit: ).
4687 Sherlyn *  entered the room.
4690 Jasper *  entered the room.
4695 Matt *  walks in
4695 Will *  left the room (quit: Remote closed the connection).
4716 Felicia :  m00se
4725 Herbert *  entered the room.
4726 Jesse :  Felicia: ;)
4732 Meta :  yo Felicia!
4738 Felicia :  Count-fucula? moosey?
4738 Lorriane *  left the room.
4739 Willetta *  left the room.
4740 Delmer *  entered the room.
4747 Felicia :  lol
4756 Dovie :  anybody can help me?
4758 Dovie :  how the root gave permission of it self to be -rwxwrxrwx
4759 Meta :  Felicia: count-fucula? what??
4766 Melida *  left the room (quit: Remote closed the connection).
4769 Felicia :  Meta: nm .. lol ..no worries
4779 Willette *  left the room (quit: Read error: 113 (No route to host)).
4781 Meta :  it's count_fuzzball, tool!
4782 Felicia :  Meta: i'm making up shit form what your sign on says
4788 Gale :  sooner or later the kernel update gets you
4789 Felicia :  Ahhh
4806 Matt *  trouts Felicia
4808 Felicia :  fuzzy m00sey
4816 Meta :  hehe
4823 Meta :  it's my 'other' alias
4849 Arlie :  120V ! ... im getting 10 more than i pay for !
4857 Jarrett *  left the room (quit: Read error: 104 (Connection reset by peer)).
4873 Bud *  entered the room.
4874 Blondell *  entered the room.
4890 Stephani *  entered the room.
4929 Tammi *  entered the room.
4929 Stephani *  left the room (quit: Remote closed the connection).
4937 Gale :  bring in the noobs, we need some entertainment
4938 Jesse :  heh, SCOX took a nice little dive today
4940 Crista *  left the room (quit: Remote closed the connection).
4951 Crista *  entered the room.
4953 Darwin *  entered the room.
4954 Meta :  Gale, what does rm -rf / do? :p
4957 Meta :  :)
4960 Gale :  just be sure to release the lions too though
4972 Tammi :  hi, i am trying to dump a file system to a dat SCSI tapedrive. if i dump /var partition the speed is 1555KB/S, but if i dump the /home partition i barley get half that speed. Why would this be?
4973 Stephani *  entered the room.
4976 Katherine :  Meta: wouldn't that nearly erase your entire PC?
4981 Jeanice :  help me, windows updates won't work with ubuntu :(
4982 Katherine :  if you were root.
4985 Meta :  Katherine, yup!
4989 Meta :  XD
4991 Jeanice :  how do i fix ubuntu??
4996 Melda :  Gale: I think we found some
4998 Melda :  hah
5002 Stephani *  left the room.
5018 Roger *  takes ubuntu to the vet for a "special" visit.
5035 Melda :  how come my linux firefox uses more ram than my windows firefox? does linux make firefox slower?
5039 Felicia :  Tammi: /home partition has some fugliness about it .. i forget what exactly
5046 Nilsa *  entered the room.
5065 Tammi :  Felicia, fugliness?
5086 Ike *  opens the lions gate
5086 Jammie *  left the room (quit: ).
5088 Melda :  Tammi: oddities that "just make it that way"
5107 Ileen *  left the room (quit: "Leaving").
5119 Meta :  hey, my christbuntu is sending me satanic messages, should i fetch an exorcist?
5125 Tammi :  both ext3
5126 Felicia :  Tammi: yes .. fugliness
5133 Stephani *  entered the room.
5150 Stephani *  left the room.
5152 Jeanice :  Jesse: hmm, ubuntu seems to have a higher pitched voice now :|
5171 Melda :  hahahah
5178 Melda :  aah, christbuntu is great
5183 Bettie *  left the room (quit: Read error: 104 (Connection reset by peer)).
5187 Melda :  wonder if they took BOFH out of the "fortune" for it
5188 Willene *  left the room (quit: Remote closed the connection).
5205 Bettie *  entered the room.
5206 Gale :  they probably replaced it with bible stories
5231 Vernon *  entered the room.
5243 Vernon *  left the room.
5250 Jeanice :  perhaps the entire fortune package has been replaced with Scriptural Promises
5257 Meta :  Don't bring christians to linux, bring linux to christians..
5262 Matt *  frowns
5271 Lora *  entered the room.
5287 Ramon *  left the room (quit: Remote closed the connection).
5288 Melda :  hrm
5289 Jesse :  Meta: 'lions', shurely
5297 Jeanice :  hahaha
5300 Melda :  i think getting rid of error 404's for plagues would be rather entertaining
5319 Belia *  entered the room.
5337 Hedy *  left the room (quit: Read error: 113 (No route to host)).
5345 Meta :  haha! you just got locusted!"
5354 Crista *  left the room (quit: Remote closed the connection).
5357 Melda :  copyright that!
5367 Matt *  copyrights it
5387 Melda :  We're sorry, but you must supply a username and password to prove that you are allowed to enter into the kingdom of christbuntu
5391 Jennie *  left the room (quit: Connection timed out).
5392 Crista *  entered the room.
5392 Jeanice :  "this program needs superuser privileges. please log an as Annointed"
5408 Jeanice :  in*
5409 Meta :  btw
5420 Melda :  "OpenOffice.org has noticed it's been 5 minutes since you saved. Jesus saves... perhaps you should also."
5423 Matt *  doesn't know if it's called christbuntu, it's something like that
5430 Jeanice :  ubuntu christian edition
5434 Melda :  eh, christbuntu gets the point across well enough
5448 Melda :  oh snap
5451 Melda :  and of course the most obvious
5464 Melda :  "guys... why is my christbunutu running all these daemons! I NEED AN EXCORCISM!"
5467 Meta :  "Error Paul chapter 3 verse 6: LOLZ J00 GOTZ HAXED!!1"
5470 Jeanice :  "ubuntu christian edition - recovery cd: your linux has been born again!"
5478 Melda :  Meta: oh shit..
5478 Melda :  hahah
5486 Melda :  i just disrupted the whole room
5487 Melda :  hahah
5491 Ahmad *  entered the room.
5501 Melda :  Jeanice: aah, indeed
5518 Alana *  entered the room.
5521 January :  News from kernel.org: 2.6.22-rc2-git4: stable snapshot <http://www.kernel.org/kdist/fragments/stable_snapshot.html>
5521 Meta :  heh
5549 Meta :  Release notes in christbuntu 3.5: changed fsck to excorse!
5552 Justa *  entered the room.
5555 Alana *  left the room.
5582 Jesse :  Meta: 'excorse'??
5620 Crysta *  left the room (quit: ).
5623 Shalanda *  entered the room.
5626 Matt *  checks the spelling
5642 Jeanice :  Read The Blessed Manual
5643 Claudie *  left the room (quit: Remote closed the connection).
5647 Rachel :  RTBM?
5669 Shalanda :  Guys, need some help - http://www.pastebin.ca/505826
5669 Meta :  shit
5682 Meta :  I can't spell the singular of exorcism
5683 Maple *  entered the room.
5713 Jody *  entered the room.
5716 Matt *  RTBM
5724 Ernest *  entered the room.
5745 Matt *  wonders what else linux related he can bash
5762 Jeanice :  ubuntu hello kitty edition?
5772 Rachel :  Meta: Bash?
5790 Rachel :  Meta: bash ^2
5792 Pauline *  entered the room.
5801 Meta :  'Want to list all 5 frickin' zillion possible commands?'
5804 Jody :  quick question about AIO in linux.  I can set sigev_notify to SIGEV_THREAD_ID to notify my thread with an event... my question is do these events go into a queue?
5806 Pauline :  whats a good book on regexp?
5811 Jeanice :  Shalanda: pwd?
5822 Jody :  oops wrong channel on that one, sorry .. but still if any of you have an answer?
5840 Jody :  I meant for that to goto #c :)
5845 Rachel :  Meta: dont exagerate. There's only 4 frickin' zillion possible commands.....
5848 Jeanice :  Meta: do i ever
5852 Melda :  ouch
5862 Melda :  in the minix screenshots the guy is reading an ubuntu article
5873 Meta :  Melda, oh dear
5883 Melda :  end of civilization
5887 Meta :  noes
5894 Rachel :  Jody: of some sort - its not cllear that the queue will be synchronously ordered.
5902 Raymond *  left the room (quit: Remote closed the connection).
5927 Raymond *  entered the room.
5944 Matt *  wanders around
6013 Agatha *  left the room (quit: "CGI:IRC 0.5.9 (2006/06/06)").
6084 Alishia *  entered the room.
6085 Shanon :  /usr/bin/ld: cannot find -lperl <-- what does this mean?
6092 Lessie *  left the room (quit: Success).
6099 Meta :  Shanon, you need libperl
6107 Shanon :  Meta: oh. Thanks.
6109 Rachel :  Shanon: its looking for a a perl library
6180 Alana *  entered the room.
6185 Arlie :  mmmm cheese puffs
6186 Avery *  entered the room.
6190 Alishia :  I am trying to load Ubuntu 7 on a new comp I got.  After selecting install it comes up and says /bin/sh: can't access tty; job control turned off..any ideas?
6196 Arlie :  the perfect product to utilize all the wasted sawdust
6204 Arlinda *  left the room ("Coming Back").
6204 Arlinda *  entered the room.
6208 Meta :  hehe Arlie
6209 Santo :  I love .PNG!
6217 Hellen *  scrifices a an eggshell to bhaal
6218 Meta :  Santo why?
6220 Alishia :  then it sits at a (initramfs) prompt
6290 Jessia *  left the room (quit: Read error: 110 (Connection timed out)).
6303 Jessia *  entered the room.
6323 Santo :  Meta: it's excellent for web design
6333 Gia :  Santo++;
6336 Meta :  Santo ah right,
6344 Mirella *  entered the room.
6347 Matt *  waves at Gia
6353 Melvina *  waves at Gia
6361 Blondell :  anyone able to get a mac osx install dvd to boot in vmware?
6378 Santo :  wow i the right side of my jaw just cracked massively, and the ringing in my ear stopped
6382 Francene *  left the room (quit: "Konversation terminated!").
6385 Margarette *  entered the room.
6388 Santo :  now the left side did.  wtf :(
6388 Margarette :  sup all
6389 Meta :  Santo lulz. :)
6394 Arlie :  Blondell, that sounds like something slacker403 would ask
6403 Alishia :  Can anyone help?
6411 Blondell :  slacker403 ?
6424 Robert *  left the room.
6427 Santo :  Alishia: well, you can't access a terminal... for some reason
6437 Arlie :  some user messing with virtual hosts, that changes his nick all the time
6438 Santo :  Alishia: #ubuntu
6460 Blondell :  heh
6462 Alishia :  does not appear so....
6464 Meta :  Arlie: virtual hosts?
6465 Arlie :  Blondell, if your confused, then your not him ;)
6465 Santo :  Alishia: http://www.google.com/search?q=%2Fbin%2Fsh%3A+can%27t+access+tty%3B+job+control+turned+off&ie=utf-8&oe=utf-8&aq=t&rls=com.ubuntu:en-US:official&client=firefox-a
6468 Blondell :  so im guessing yall dont mention that here, eh
6480 Arlie :  Blondell, no, i was thinking you might be him
6494 Arlie :  but ive not heard him use the word "yall" so your probably not him ;)
6503 Kerstin :  who is winning , Liverpool or Milan ?
6509 Santo :  Alishia: http://www.google.com/url?sa=t&ct=res&cd=1&url=http%3A%2F%2Fubuntuforums.org%2Fshowthread.php%3Ft%3D292533&ei=iJhURp2sHpyajgGDweSrCQ&usg=AFrqEzfeWH1YCUA92y7waEE2WplGuGq45Q&sig2=VZNrcDs6_6_SN-fzNmIxxA
6514 Meta :  Kerstin, Cairo!
6516 Margarette :  anyone know how to create encrypted pdfs that you put in the password once and its enabled permanently? perhaps using htmldoc? everyone who will read it i believe will have acrobat installed
6518 Jennie *  entered the room.
6523 Jennie *  left the room (quit: Remote closed the connection).
6544 Mirella *  left the room (quit: Client Quit).
6549 Olive *  entered the room.
6556 Blondell :  im getting the impression i wont find much help on this
6558 Margarette :  on that computer only?
6559 Ahmad *  left the room (quit: "This computer has gone to sleep").
6578 Arlie :  Blondell, ive never seen osx, let alone install it under vmware ... sorry
6579 Christi *  entered the room.
6607 Cory *  left the room (quit: Connection timed out).
6633 Margene *  entered the room.
6652 Blondell :  http://wiki.osx86project.org/wiki/index.php/Vmware_how_to
6673 Jeanice :  it's not exactly the sort of thing you're guarenteed help with
6677 Tien *  left the room.
6695 Sena *  entered the room.
6696 Jeanice :  very experimental stuff i understand... big YMMV stickers all over it
6702 Arlie :  ive never used vmware either
6706 Santo :  vmware is great
6709 Blondell :  vmmv ?
6715 Santo :  i've been using it for half a decade now
6716 Arlie :  no need for it
6718 Tanika *  entered the room.
6734 Sharron *  entered the room.
6742 Arlie :  i dont need to run my text editor or gcc in a virtual environment
6755 Santo :  i'm running vmware server on this box and running Photoshop inside WindowsXP. it runs great and is much more stable, IMO
6772 Blondell :  Jeanice : YMMV ?
6775 Arlie :  no need for windows xp or photoshop either ;)
6784 Missy *  entered the room.
6784 Maudie *  left the room (quit: Read error: 104 (Connection reset by peer)).
6791 Matt *  starts doctoring photos with GIMP
6792 Missy :  how can i run 32-bit binaries on x86_64 ubuntu os?
6793 Santo :  I gave up on GIMP yesterday when I found it didn't have a "layer via cut"
6806 Jeanice :  Blondell: your mileage may vary - as in it isn't certain to work all that well, if at all
6815 Margene :  layer via cut?
6817 Alec *  left the room (quit: Remote closed the connection).
6821 Santo :  And Layer Via Copy.
6828 Santo :  Which are two functions I use very heavily.
6833 Adriana :  Santo: iirc it has a paste as new layer (cut/copy and paste)
6834 Sheila *  entered the room.
6845 Rachel :  copy from a layer , or by moving to a layer?
6846 Cecelia *  entered the room.
6850 Jeanice :  things are usually there, just renamed
6864 Arlie :  Santo, all that money to ms and adobe, just because you cant re-train yourself ... what a shame ;)
6865 Malcolm *  entered the room.
6868 Hui :  Missy: with difficulty, debian based distros don't support multilib for running 32bit and 64bit apps on the same system.
6872 Santo :  Arlie: what money?  ;)
6882 Rachel :  Arr!
6891 Hui :  Missy: any rpm based distro and you'd be fine, on ubuntu you'll be stuck with chroot hacks.
6900 Malcolm :  I need to run fetchmail for myself all the time - I can run it as a daemon under my own login and it runs fine, and then survives even if i close my session.  How should I script it to start when the machine boots, so I don't have to rememebr to start it manually?
6923 Rachel :  Malcolm: put it in rc.local
6933 Rachel :  use the deamon invocation
6939 Malcolm :  Rachel: run it as root?
6942 Rhea *  left the room (quit: Connection timed out).
6956 Matt *  jumps around
6962 Avery *  left the room (quit: "Leaving").
6968 Garnett *  left the room (quit: Read error: 110 (Connection timed out)).
6979 Meta :  so far my general desktop/web server box hasn't been attacked
6980 Meta :  w00t
6980 Rachel :  Malcolm: sure - as long as the fetchmailrc is set up right, fetchmail takes care of the user ID issues.
6981 Margene :  pclos 2007 is out!
7041 Jermaine :  hi, I want to print the current date within a bash script like that 05232007 for example for taday, how can I do that?
7045 Jermaine :  today*
7057 Meta :  use date
7060 Rachel :  Malcolm: DAEMON MODE
7060 Rachel :         The --daemon <interval> or -d <interval> option runs fetchmail in daemon mode.  You must specify a numeric argument which is a polling interval in seconds.
7063 Nicky :  try date
7070 Lorraine *  entered the room.
7080 Willette *  entered the room.
7081 Jetta :  how can i install and boot just linux on a mac mini?
7087 Nelson *  entered the room.
7114 Rachel :  Malcolm: poll mail.comcast.net protocol POP3: user cwwoot, with password sekkret ,  is bronze  here; options antispam 501 45
7117 Santo :  Jetta: http://www.google.com/url?sa=t&ct=res&cd=1&url=http%3A%2F%2Fsowerbutts.com%2Flinux-mac-mini%2F&ei=85pURreGJIy2igHzlMCpCQ&usg=AFrqEzcPiqSqFg9iJKcqvs2rGZWWES5ZQA&sig2=CqBu53naitIytbrFKcd7jQ
7118 Felice *  is now known as Felice
7127 Jermaine :  Meta, but $(date) is in large format
7135 Roselia *  entered the room.
7138 Avery *  entered the room.
7142 Meta :  Jermaine, RTM
7148 Meta :  it tells you
7157 Jetta :  Santo: that requires running OS X
7168 Jody *  left the room (quit: ).
7169 Malcolm :  Rachel: If running as root, I need to set up a global config rather than ~/.fetchmailrc ?
7173 Kathie :  Jermaine:  date '+%m%d%Y'
7183 Rachel :  Malcolm: yup
7190 Malcolm :  Rachel: I run it in daemon mode under my uid and it works very nicely
7192 Jermaine :  I got it.. thanks
7200 Rachel :  pretty much put same info in global location.
7213 Kacy *  entered the room.
7215 Shanon :  epic5 is pretty cool...
7227 Elma *  entered the room.
7228 Willette *  left the room (quit: Client Quit).
7236 Malcolm :  Rachel: OK thanks.. I'll try to find the docs on that.
7238 Elma :  hi folks
7259 Trina *  left the room (quit: Read error: 110 (Connection timed out)).
7260 Elma :  'm sure i missed something but fonts rendering in my gimp works isn't at its best
7269 Roselia *  left the room ("Leaving").
7287 Elma :  is it because f the gimp or have i missed some tuning or such?
7288 Sena :  is there anyway to see what the CPU temperature is ?
7296 Rachel :  Malcolm: use "/etc/fetchmailrc"        -f <pathname> | --fetchmailrc <pathname>
7297 Rachel :                Specify  a non-default name for the ~/.fetchmailrc run control file.
7302 Thurman *  entered the room.
7303 Anja *  left the room (quit: "burp").
7312 Malcolm :  Rachel: in the man page http://fetchmail.berlios.de/fetchmail-man.html it doesn't mention any global fetchmailrc file... that is what was confusing me...
7322 Thurman :  hi, do you have any recommendations for saving videos from a webcam in GNU/Linux?
7335 Rachel :  Malcolm: give yourself a promotion - You decide! ;-)
7341 Malcolm :  Rachel: there are a couple of oblique refs to running as root and that's it.  And if I try to run it as root, it says "running as root is discouraged" and then exits :)
7373 Meta :  Thurman, try motion
7379 Rachel :  Malcolm: hmm
7427 Edna *  left the room (quit: Connection timed out).
7445 Alina *  entered the room.
7450 Tommy *  left the room (quit: "g2g").
7477 Merlyn *  left the room (quit: ).
7477 Shanon *  left the room (quit: "leaving").
7502 Anja *  entered the room.
7503 Thurman :  Meta: isn't it strange that it writes to /var/lib/motion/snapshots
7503 Evon *  entered the room.
7508 Alisa *  entered the room.
7511 Malcolm :  Rachel: ok my bad.. the /etc/init.d script exits automatically (and silently.. bitches) if no /etc/fetchmailrc exists
7528 Malcolm :  have these people never heard of error messages?
7533 Jesse :  Malcolm: it runs as user fetchmail here, and uses /etc/fetchmailrc
7548 Malcolm :  Jesse: thanks
7561 Malcolm :  Jesse: set up to do the same here, looks like
7565 Rachel :  well there ya go.
7573 Rachel :  Jesse++
7596 Shalanda *  left the room.
7610 Denny *  entered the room.
7628 Dovie *  left the room (quit: "Ex-Chat").
7638 Denny :  so how does one enforce a permission set and ownership set on a folder and all its children?
7655 Elma :  poningru:  -R
7660 Jetta :  im starting to think it might actually not be possible to just put linux on an intel mac mini
7671 Shenna *  entered the room.
7687 Elma :  poningru: -R for recursive...
7695 Jermaine *  left the room (quit: Read error: 104 (Connection reset by peer)).
7711 Ela *  entered the room.
7756 Elma :  well... have a nice day folks
7783 Shenna :  hi, are sata drives accessed as sda or hda?
7796 Elma :  sda
7802 Johnathon *  entered the room.
7823 Stefani *  entered the room.
7860 Johnathon :  hey wat's up ?
7885 Shenna :  Elma: , then why is it that my 2.4 kernel recognises it as hda?
7898 Denny :  Elma, no I mean like always
7904 Denny :  so if anything is added to that folder
7905 Sang *  left the room (quit: Connection reset by peer).
7915 Sierra *  left the room (quit: Remote closed the connection).
